LastModified,ProcessLevelCode,ProcessLevel,Level1,Leve1Code,level2,level2code
"2026-01-12 09:12:46.0819470","B1122tyab","Barebells Christmas Calendar 2025","Products","100","Products",
"2026-03-17 14:08:56.8562230","B2197-1tyab","Tyngre Brus AM 1 st påse","Products","100","Products",
"2026-01-28 13:39:23.3260720","6090-AEvwab","NOCCO Apple BCAA+ 330ml 24-pack","Products","100","Products",
"2026-01-12 09:12:46.0819470","B1058tyab","Barebells Bars Banana Dream 55g 12-pack","Products","100","Products",
"2026-01-12 09:12:46.0819470","6730-DEbbat","NOCCO Calendar 2025 Limited","Products","100","Products",
"2026-01-12 09:12:46.0819470","B1072-GBDKNOppdk","Barebells Bars Choco Hazelnut 55g 12-pack",,,"Products",
"2026-06-11 10:00:07.8940660","B1114-GBDKNOvwab","Barebells Bars Cinnamon Bun 55g 12-pack",,,"Products",
"2026-01-12 09:12:46.0819470","P11001vwab","NOCCO v3 Toppskylt End Cap",,,"Products",
"2026-03-27 09:25:46.6223380","B1073-DEFRNLvwch","Barebells Vegan Bar Caramel Peanut 55g 12-pack",,,"Products",
"2026-01-12 09:12:46.0819470","T1025tyab","T-Shirt Loose Fit A&A Mens",,,"Products",
"2026-03-13 10:13:29.2502790","P12745vwab","NOCCO W7 SIDE GABEL SIGN",,,"Products",
"2026-01-12 09:12:46.0819470","6203-USvwll","NOCCO Summer Variety 12oz 12-pack",,,"Products",
"2026-01-27 09:41:36.9378830","B1073-US-2PK-FBMvwus","Barebells Bars Vegan Caramel Peanut 2-pack FBM","Products","100","Products",
"2026-01-28 13:54:57.3770640","B1023-ARvwab","Barebells Bars Salty Peanut 55g 12-pack",,,"Products",
"2026-01-12 09:12:46.0819470","CA00004bbca","Barebells Soft Bar PDQ 24 CC Display",,,"Display","03"
"2026-01-12 09:12:46.0819470","B2221-Styab","Tyngre Vassle Vit Choklad/Saffran 900g 1 st",,,"Products",
"2026-06-04 17:14:22.9695820","B1076-DEFRNLbbde","Barebells Bars Cookies and Caramel 55g 12-pack",,,"Products",
"2026-01-12 09:12:46.0819470","B2090tyab","Tyngre Kasein Mintchoklad 1000g","Products","100","Products",
"2026-02-19 07:42:11.9179290","B3001-EXPbbde","Barebells Protein Milkshake Strawberry 330ml 8-pack",,,"Products",
"2026-01-28 13:39:23.3260720","6460-AEvwab","NOCCO Juicy Melba 180mg 330ml 24-pack","Products","100","Products",
"2026-01-12 09:12:46.0819470","6730-DEbbfr","NOCCO Calendar 2025 Limited","Products","100","Products",
"2026-06-02 11:40:08.5889020","B1114-GBDKNOppdk","Barebells Bars Cinnamon Bun 55g 12-pack",,,"Products",
"2026-03-13 10:13:29.2502790","P12746vwab","NOCCO W7 POP-UP",,,"Products",
"2026-01-12 09:12:46.0819470","B5/12311-00vwch","Topper","POS","104","Products",
"2026-01-27 09:41:36.9378830","B1102-USA-2PK-FBMvwus","Barebells Bars Peanut Butter 2-pack FBM",,,"Products",
"2026-04-17 10:54:08.1546360","B1105-4-USAvwab","Barebells Bars Lemon Cheesecake 55g 4-pack",,,"Pack","04"
"2026-07-07 07:20:55.2449180","B2281vwab","Tyngre Clear Whey Fiesta 350g",,,"Products",
"2026-02-19 07:42:11.9179290","B3003-EXPbbde","Barebells Protein Milkshake Vanilla 330ml 8-pack",,,"Products",
"2026-03-17 14:08:56.8562230","B2198-1tyab","Tyngre Brus PM 1 st påse","Products","100","Products",
"2026-01-28 13:39:23.3260720","B1106vwab","Barebells Bars Summer2 55g 12-pack DON'T USE",,,"Products",
"2026-01-12 09:12:46.0819470","B1096-DEFRNLbbde","Barebells Bars Peanut Butter 55g 12-pack",,,"Products",
"2026-01-12 09:12:46.0819470","6730-DEvwch","NOCCO Calendar 2025 Limited","Products","100","Products",
"2026-05-07 11:41:04.0908450","B1114-GBDKNOvwuk","Barebells Bars Cinnamon Bun 55g 12-pack",,,"Products",
"2026-01-12 09:12:46.0819470","100066tyab","Smiling Blåbärspaj 35g (EKO)","Products","100","Products",
"2026-03-13 10:13:29.2502790","P12747vwab","NOCCO IS W7 POP-UP",,,"Products",
"2026-07-10 11:42:57.8687840","B1067-USAvwab","Barebells Bars Minty Chocolate 55g 12-pack",,,"Products",
"2026-01-12 09:12:46.0819470","B5/12311-01vwch","Displaymantel","POS","104","Products",
"2026-01-12 09:12:46.0819470","P11002vwab","NOCCO v3 Wobbler Big",,,"Products",
"2026-01-12 09:12:46.0819470","B1105-4-USAvwus","Barebells Bars Lemon Cheesecake 55g 4-pack",,,"Products",
"2026-01-12 09:12:46.0819470","T1026tyab","T-Shirt Loose Fit Food Mens",,,"Products",
"2026-03-12 09:10:14.8707780","B2281tyab","Tyngre Clear Whey Fiesta 350g",,,"Products",
"2026-01-12 09:12:46.0819470","PVW04037ppdk","VW Topskilt Always hungry Never Thirsty",,,"Products",
"2026-02-16 09:27:35.2487020","B1086-DEFRNLvwab","Barebells Bars Gingerbread 55g 12-pack",,,"Products",
"2026-01-12 09:12:46.0819470","6311-USvwll","NOCCO Limón Del Sol 180mg 12oz 12-pack",,,"Products",
"2026-06-11 09:13:17.0180620","1290-CHvwab","Vitamin Well Zero Peach 500ml 12-pack",,,"Products",
"2026-01-12 09:12:46.0819470","B1095-DEFRNLbbde","Barebells Bars Salty Caramel Crunch 55g 12-pack",,,"Products",
"2026-01-28 13:54:57.3770640","B1024-ARvwab","Barebells Bars White Chocolate Almond 55g 12-pack",,,"Products",
"2026-03-16 11:28:14.3700860","B1112-Styab","Barebells Bars Peppermint Bark 55g 1st","Products","100","Products",
"2026-01-28 13:54:57.3770640","B1076-GBDKNOvwab","Barebells Bars Cookies and Caramel 55g 12-pack",,,"Products",
"2026-03-13 10:13:29.2502790","P12680vwab","SE TOP SIGN GABLE CA 1120X610",,,"Products",
"2026-01-12 09:12:46.0819470","B2101tyab","Tyngre Kasein Pina Colada 1000g","Products","100","Products",
"2026-02-18 13:54:33.1368200","304108ppdk","BB BARS 1/4 - Soft Medium","Products","100","Display","03"
"2026-01-12 09:12:46.0819470","B2202tyab","Tyngre Meal Kladdkaka 900g 6-pack","Products","100","Products",
"2026-03-13 10:13:29.2502790","P12748vwab","NOCCO W7 HALF CAN POP-UP",,,"Products",
"2026-01-12 09:12:46.0819470","6450tyab","NOCCO FOCUS Black Orange 180mg 330ml 24-pack","Products","100","Products",
"2026-01-12 09:12:46.0819470","B5/12311-02vwch","Trays","POS","104","Products",
"2026-01-12 09:12:46.0819470","P10974vwab","Toppskylt Barebells Minty Chocolate Floorstand","POS","104","Products",
"2026-01-12 09:12:46.0819470","B1105-4-USAvwll","Barebells Bars Lemon Cheesecake 55g 4-pack",,,"Products",
"2026-01-12 09:12:46.0819470","P11003vwab","NOCCO v3 Wobbler Small",,,"Products",
"2026-01-27 09:41:36.9378830","B1055-US-2PK-FBMvwus","Barebells Bars Marshmallow Peanut Road 2-pack FBM",,,"Products",
"2026-01-12 09:12:46.0819470","T1027tyab","T-Shirt Loose Fit Logo Mens",,,"Products",
"2026-01-12 09:12:46.0819470","B1086-DEFRNLbbde","Barebells Bars Gingerbread 55g 12-pack",,,"Products",
"2026-01-12 09:12:46.0819470","B1011-USvwll","Barebells Bars Original Mix Tray 12-pack",,,"Products",
"2026-01-13 08:27:06.1134540","1290-CHvwch","Vitamin Well Zero Peach 500ml 12-pack","Products","100","Products",
"2026-01-12 09:12:46.0819470","B2103tyab","Tyngre Kasein Kladdkaka Jordnötssmör Kolasås","Products","100","Products",
"2026-01-28 09:09:50.4646440","9826vwab","Rhubarb Flavour 061224",,,"Products",
"2026-01-12 09:12:46.0819470","B2203tyab","Tyngre Meal Vaniljdrömmar 900g 6-pack","Products","100","Products",
"2026-03-18 13:24:39.5197270","CH30001vwch","Barebells Display klein DENNER","Products","100","Display","03"
"2026-01-12 09:12:46.0819470","B1065tyab","Barebells Bars Berry Licorice 55g 12-pack","Products","100","Products",
"2026-01-27 12:11:10.1070430","P12681vwab","SE SIDE SIGN GABLE CA 350X925",,,"Products",
"2026-04-09 06:39:22.6685110","B2224vwab","Tyngre PWO Ananas V2 Koffeinfri 400g 24-pack",,,"Products",
"2026-03-02 13:42:16.8882700","301046ppdk","Vitamin Well 1/4 medium","Products","100","Display","03"
"2026-01-12 09:12:46.0819470","P11004vwab","NOCCO v3 Mobile",,,"Products",
"2026-03-13 10:13:29.2502790","P12749vwab","NOCCO W7 FLOOR STICKER SMALL",,,"Products",
"2026-01-12 09:12:46.0819470","T1028tyab","T-Shirt Loose Fit Neon Mens",,,"Products",
"2026-01-12 09:12:46.0819470","B5/12311-03vwch","Tray","POS","104","Products",
"2026-01-12 09:12:46.0819470","B1059-USvwll","Barebells Bars Pumpkin Spice 55g 12-pack",,,"Products",
"2026-01-12 09:12:46.0819470","6680vwab","NOCCO Electrolyte Blood Orange 355ml 24-pack",,,"Products",
"2026-01-12 09:12:46.0819470","P10847vwab","Hylla 1/2 pall Barebells bars",,,"Products",
"2026-01-12 09:12:46.0819470","CA00005bbca","Barebells Soft Bar PDQ 24 SPC Display",,,"Display","03"
"2026-01-12 09:12:46.0819470","B2105tyab","Tyngre Kasein Päronglass 1000g","Products","100","Products",
"2026-01-12 09:12:46.0819470","6720vwab","NOCCO Blueberry 180mg 330 ml 24-pack",,,"Products",
"2026-01-12 09:12:46.0819470","B2204tyab","Tyngre Meal Krämig Jordgubbsglass 900g 6-pack","Products","100","Products",
"2026-06-02 14:25:29.5533940","B1056ppdk","Barebells Bars Caramel Choco 55g 12-pack","Products","100","Products",
"2026-01-12 09:12:46.0819470","301030ppdk","Vitamin Well Dsiplay",,,"Display","03"
"2026-01-27 11:40:18.4296000","P12415vwab","NOCCO v15 Ord Pallar Top Sign PÅSK",,,"Products",
"2026-01-12 09:12:46.0819470","T1001tyab","T-Shirt Loose Fit Discreet Mens",,,"Products",
"2026-02-25 17:53:55.4621420","303050ppdk","NOCCO 1/4 pl - Electrolyte","Products","100","Display","03"
"2026-01-12 09:12:46.0819470","P11005vwab","NOCCO v3 Floor Sticker",,,"Products",
"2026-03-13 10:13:29.2502790","P12750vwab","NOCCO W7 WOBBLER DISPLAY BIG",,,"Products",
"2026-01-12 09:12:46.0819470","T1029tyab","T-Shirt Loose Fit Old School",,,"Products",
"2026-01-12 09:12:46.0819470","B5/12311-04vwch","Stütze","POS","104","Products",
"2026-01-12 09:12:46.0819470","9713vwab","Lemon-Lime 060215-25",,,"Products",
"2026-06-30 13:58:39.4097350","6690vwab","NOCCO Electrolyte Lemon Lime 355ml 24-pack",,,"Products",
"2026-01-12 09:12:46.0819470","B2107tyab","Tyngre Kasein Tunga Bananer 1000g","Products","100","Products",
"2026-01-12 09:12:46.0819470","CH10013vwch","Vitamin Well 1/4 DY 2025 Coop FR","Products","100","Display","03"
"2026-01-12 09:12:46.0819470","P11006vwab","NOCCO v3 Pop-up",,,"Products",
"2026-02-23 10:12:54.7792510","6721vwab","NOCCO Carnival 180mg 330 ml 24-pack",,,"Products",
"2026-01-12 09:12:46.0819470","T1030tyab","T-Shirt Loose Fit Print Mens",,,"Products",
"2026-01-12 09:12:46.0819470","B1061ppdk","Barebells Bars Peanut Caramel 55g 12-pack","Products","100","Products",
"2026-01-12 09:12:46.0819470","P10942vwab","Barebells Food Floor Sticker","POS","104","Products",
"2026-01-27 11:40:18.4296000","P12416vwab","NOCCO v15 Ord Pallar Wobbler Big PÅSK",,,"Products",
"2026-01-12 09:12:46.0819470","B2113tyab","Tyngre Kasein Polka 1000g","Products","100","Products",
"2026-03-13 10:13:29.2502790","P12751vwab","NOCCO W7 WOBBLER SHELF SMALL",,,"Products",
"2026-01-12 09:12:46.0819470","P11007vwab","NOCCO v3 Half Can Pop-up",,,"Products",
"2026-01-12 09:12:46.0819470","B5/12311-05vwch","Ummantelung","POS","104","Products",
"2026-01-12 09:12:46.0819470","T1031tyab","T-Shirt Loose Fit Repeat Mens",,,"Products",
"2026-01-12 09:12:46.0819470","CH10014vwch","Vitamin Well 1/4 DY 2025 Coop DE","Products","100","Display","03"
"2026-01-12 09:12:46.0819470","B2120tyab","Tyngre Kasein Chokladboll 1000g","Products","100","Products",
"2026-01-28 13:39:23.3260720","1296vwab","Vitamin Well Zero Peach 1,15l 6-pack",,,"Products",
"2026-01-28 13:54:57.3770640","6501-EXPvwab","NOCCO Focus Grand Sour 180mg 330ml 12-pack",,,"Pack","04"
"2026-01-12 09:12:46.0819470","P1/21210bbde","Vitamin Well TS Gewinnspiel Display 25",,,"Products",
"2026-01-12 09:12:46.0819470","P11008vwab","NOCCO v3 Sidoskylt Gavel",,,"Products",
"2026-01-12 09:12:46.0819470","B1058ppdk","Barebells Bars Banana Dream 55g 12-pack","Products","100","Products","02"
"2026-01-12 09:12:46.0819470","T1032tyab","T-Shirt Loose Fit Silhouette Mens",,,"Products",
"2026-01-27 11:40:18.4296000","P12417vwab","NOCCO v15 Ord Pallar Pop-Up PÅSK",,,"Products",
"2026-01-12 09:12:46.0819470","B2122tyab","Tyngre Kasein Kladdkaka 750g 6-pack 6-pack","Products","100","Products",
"2026-03-13 10:13:29.2502790","P12752vwab","NOCCO IS W7 PALLETWRAP",,,"Products",
"2026-01-12 09:12:46.0819470","P1/29001bbde","Juicy Melba Wobbler 200x200",,,"Products",
"2026-01-12 09:12:46.0819470","6681-USvwll","NOCCO Electrolyte Blood Orange 12oz 12-pack",,,"Products",
"2026-01-12 09:12:46.0819470","1316vwab","Vitamin Well Zero Lemon 1,15l 6-pack",,,"Products",
"2026-01-28 13:54:57.3770640","6500-EXPvwab","NOCCO Focus Grand Sour 180mg 330ml 24-pack",,,"Products",
"2026-01-12 09:12:46.0819470","P11009vwab","NOBE v1 Toppskylt 1/2 & 1/3 pall",,,"Products",
"2026-01-12 09:12:46.0819470","100172-USAvwab","Barebells Pumpkin Spice Display 4-packs",,,"Products",
"2026-01-12 09:12:46.0819470","T1033tyab","T-Shirt Loose Fit Soulevé de Terre Mens",,,"Products",
"2026-01-12 09:12:46.0819470","B1066ppdk","Barebells Bars Salty Chocolate 55g 12-pack","Products","100","Products",
"2026-01-12 09:12:46.0819470","B2127tyab","Tyngre Kasein Vaniljdrömmar 750g 6-pack","Products","100","Products",
"2026-01-27 11:40:18.4296000","P12418vwab","NOCCO v15 Top sign Gable SE",,,"Products",
"2026-01-12 09:12:46.0819470","P1/13023-01-ATbbat","Floorstand BB 320x295x1758mm",,,"Products",
"2026-03-13 10:13:29.2502790","P12733vwab","Huv Nobe Soda 1/3-pall","POS","104","Products",
"2026-01-28 13:54:57.3770640","6450-CHvwab","NOCCO Black Orange 180mg 330ml 24-pack",,,"Products",
"2026-03-13 10:13:29.2502790","P12753vwab","NOCCO IS W7 L-SHAPE",,,"Products",
"2026-01-12 09:12:46.0819470","P11010vwab","NOBE v1 Wobbler Big",,,"Products",
"2026-01-12 09:12:46.0819470","6691-USvwll","NOCCO Electrolyte Lemon Lime 12oz 12-pack",,,"Products",
"2026-01-12 09:12:46.0819470","T1034tyab","Loose Tank Svart",,,"Products",
"2026-01-28 13:39:23.3260720","B1111-GBDKNOvwab","Barebells Bars Key Lime Pie 55g 12-pack",,,"Products",
"2026-01-12 09:12:46.0819470","304072ppdk","BB Bars 1/4 pll",,,"Display","03"
"2026-01-27 09:41:36.9378830","100172-USAvwus","Barebells Pumpkin Spice Display 4-packs","Products","100","Display","03"
"2026-01-12 09:12:46.0819470","B2128tyab","Tyngre Kasein Kladdkaka 750g 6-pack","Products","100","Products",
"2026-01-12 09:12:46.0819470","B1071ppdk","Barebells Bars Coco Choco 55g 12-pack",,,"Products",
"2026-01-12 09:12:46.0819470","P1/13023-02-ATbbat","Topsign BB Floorstand Most Wanted Bars",,,"Products",
"2026-01-27 11:40:18.4296000","P12419vwab","NOCCO v15 Top sign SE",,,"Products",
"2026-01-28 13:54:57.3770640","6400-CHvwab","NOCCO Ramonade 180mg 330ml 24-pack",,,"Products",
"2026-01-12 09:12:46.0819470","P12459vwab","NOCCO Hyllvippa Tävla och vinn NOCCO",,,"Products",
"2026-01-12 09:12:46.0819470","P11011vwab","NOBE v1 Mobile",,,"Products",
"2026-03-13 10:13:29.2502790","P12734vwab","Nåbe Soda Packsäkring 1/3-pall",,,"Products",
"2026-01-22 14:10:52.2164720","T1035tyab","Low Socks/White",,,"Products",
"2026-03-26 10:39:54.2793920","P1/25377-01bbat","Mantel 1/4 Pal. Display VW 2025","POS","104","Products",
"2026-03-12 09:50:44.0335480","100172-USAvwll","Barebells Pumpkin Spice Display 4-packs","Products","100","Display","03"
"2026-01-12 09:12:46.0819470","P10144-BOIS-GMSbbfr","BB_Wooden_Floorstand","POS","104","Products",
"2026-01-12 09:12:46.0819470","B1076ppdk","Barebells Bars Cookies and Caramel 55g 12-pack","Products","100","Products",
"2026-01-12 09:12:46.0819470","B2129tyab","Tyngre Kasein Chokladboll 750g 6-pack","Products","100","Products",
"2026-01-27 11:40:18.4296000","P12420vwab","NOCCO v15 Top sign IS",,,"Products",
"2026-01-12 09:12:46.0819470","P1/13033-01-ATbbat","Floorstand Nocco 370x525x1605",,,"Products",
"2026-04-17 10:08:56.5019790","BB2305-ATbbat","Barebells 15 EH ¼ Chep Display","Products","100","Display","03"
"2026-01-12 09:12:46.0819470","P10992vwab","Vitamin Well v1 Wobbler Dejan",,,"Products",
"2026-03-13 10:13:29.2502790","P12698vwab","Display sign VW Reload",,,"Products",
"2026-01-12 09:12:46.0819470","T1036tyab","Marklyftsstrumpor",,,"Products",
"2026-03-13 10:13:29.2502790","P12536vwab","Generic Counter Stand NOCCO",,,"Products",
"2026-01-28 13:54:57.3770640","6510vwab","NOCCO Berruba 180mg 330ml 24-pack",,,"Products",
"2026-04-02 08:10:02.3212860","P1/251201bbde","BB Karton Mixtray 25",,,"Products",
"2026-01-12 09:12:46.0819470","P10943vwuk","Vitamin Well FSDU","POS","104","Products",
"2026-03-13 10:13:29.2502790","P12631vwab","SHELF THEATER",,,"Products",
"2026-01-12 09:12:46.0819470","B2130tyab","Tyngre Kasein Kladdkaka Jordnötssmör Kolasås 750g 6-pack","Products","100","Products",
"2026-01-27 11:40:18.4296000","P12421vwab","NOCCO v15 Wobbler Big SE",,,"Products",
"2026-01-12 09:12:46.0819470","P1/13033-02-ATbbat","Topsign Nocco Floorstand Aleksander A",,,"Products",
"2026-01-12 09:12:46.0819470","100154-CHvwch","Vitamin Well 1/4 DY 96xRLD 48xAOE 48xAWA","Products","100","Display","03"
"2026-01-12 09:12:46.0819470","PVW04030ppdk","We Run Denmark Wobbler",,,"Products",
"2026-03-13 10:13:29.2502790","P12699vwab","Display sign VW Zero Raspberry",,,"Products",
"2026-01-12 09:12:46.0819470","P10993vwab","Vitamin Well v1 Wobbler Big Dejan",,,"Products",
"2026-01-27 09:41:36.9378830","100173-USAvwus","Barebells Bars Sidekick 4-packs","Products","100","Display","03"
"2026-01-12 09:12:46.0819470","T1037tyab","Melerad Navy T-shirt Herr",,,"Products",
"2026-03-13 10:13:29.2502790","P12632vwab","SHELF FLAG",,,"Products",
"2026-01-28 13:54:57.3770640","6520vwab","NOCCO San Citro 180mg 330ml 24-pack",,,"Products",
"2026-01-27 11:40:18.4296000","P12422vwab","NOCCO v15 Wobbler Big IS",,,"Products",
"2026-01-12 09:12:46.0819470","P10944vwuk","Barebells Soft Bars counter stand","POS","104","Products",
"2026-02-16 09:27:35.2487020","6405-UKvwab","NOCCO Focus Ramonade 180mg 330ml 4-pack",,,"Products",
"2026-01-12 09:12:46.0819470","B2131tyab","Tyngre Kasein Kanelbulle 750g 6-pack","Products","100","Products",
"2026-01-12 09:12:46.0819470","100173-USAvwll","Barebells Bars Sidekick 4-packs","Products","100","Display","03"
"2026-01-12 09:12:46.0819470","PVW04031ppdk","We Run Denmark Topskilt",,,"Products",
"2026-06-11 09:13:17.0180620","1316-CHvwab","Vitamin Well Zero Lemon 1,15l 6-pack","Products","100","Products",
"2026-01-12 09:12:46.0819470","P10994vwab","Vitamin Well v1 Floor Sticker Dejan",,,"Products",
"2026-03-13 10:13:29.2502790","P12633vwab","SHELF FLAG",,,"Products",
"2026-01-12 09:12:46.0819470","T1038tyab","Mormor T-shirt Dam",,,"Products",
"2026-01-27 11:40:18.4296000","P12423vwab","NOCCO v15 Wobbler Small SE",,,"Products",
"2026-01-12 09:12:46.0819470","301025ppdk","W ¼ pll",,,"Display","03"
"2026-08-04 08:42:39.8247940","B1120-GBDKNOppdk","Barebells Bars Hazelnut Spread 45g 12-pack","Products","100","Products",
"2026-01-28 13:54:57.3770640","B1035-C-USAvwab","Barebells Bars Chocolate Dough 55g Club Pack",,,"Pack","04"
"2026-04-09 19:09:12.7661510","B1104-4-USAvwab","Barebells Bars Wild Cherry 55g 4-pack",,,"Pack","04"
"2026-01-12 09:12:46.0819470","B2132tyab","Tyngre Kasein Tunga Bananer 750g 6-pack","Products","100","Products",
"2026-02-16 09:27:35.2487020","6505-UKvwab","NOCCO Focus Grand Sour 180mg 330ml 4-pack",,,"Products",
"2026-01-12 09:12:46.0819470","P1/13044-01-ATbbat","Floorstand VW 393x276x1647","POS","104","Products",
"2026-01-13 08:56:50.8768110","1316-CHvwch","Vitamin Well Zero Lemon 1,15l 6-pack",,,"Products",
"2026-01-12 09:12:46.0819470","PVW04032ppdk","We Run Odense Topskilt",,,"Products",
"2026-03-13 10:13:29.2502790","P12634vwab","SHELF FLAG",,,"Products",
"2026-01-12 09:12:46.0819470","P10995vwab","Vitamin Well v1 Utskuren Figur Dejan",,,"Products",
"2026-01-27 11:40:18.4296000","P12424vwab","NOCCO v15 Wobbler Small IS",,,"Products",
"2026-01-12 09:12:46.0819470","T1039tyab","Mormor T-shirt Herr",,,"Products",
"2026-08-04 08:42:39.8247940","B1121-GBDKNOppdk","Barebells Bars Chocolate Spread 45g 12-pack","Products","100","Products",
"2026-01-12 09:12:46.0819470","T2160tyab","Bultprogrammet",,,"Products",
"2026-01-27 09:41:36.9378830","B1104-4-USAvwus","Barebells Bars Wild Cherry 55g 4-pack","Products","100","Products",
"2026-01-12 09:12:46.0819470","P10946vwuk","Barebells Soft Bars hanging unit","POS","104","Products",
"2026-01-12 09:12:46.0819470","6405-UKvwuk","NOCCO Focus Ramonade 180mg 330ml 4-pack","Products","100","Products",
"2026-01-12 09:12:46.0819470","B2133tyab","Tyngre Kasein Päronglass 750g 6-pack","Products","100","Products",
"2026-01-12 09:12:46.0819470","6160-SGvwab","NOCCO Caribbean 180mg 330ml 24-pack",,,"Products",
"2026-01-12 09:12:46.0819470","P1/13044-02-ATbbat","Topsign VW Floorstand Running","POS","104","Products",
"2026-03-13 10:13:29.2502790","P12635vwab","SHELF STOPPER",,,"Products",
"2026-01-12 09:12:46.0819470","PVW04033ppdk","We Run Copenhagen Topskilt",,,"Products",
"2026-01-27 11:40:18.4296000","P12425vwab","NOCCO v15 Ord Pallar Floor Sticker SE",,,"Products",
"2026-01-12 09:12:46.0819470","P10996vwab","Vitamin Well v1 Pop-up Dejan",,,"Products",
"2026-01-12 09:12:46.0819470","BBSSS02vwuk","Shakes Shelf Stripping Sweden",,,"Products",
"2026-01-12 09:12:46.0819470","T1040tyab","Mössa Chamonix",,,"Products",
"2026-04-15 05:24:24.6944020","CH20003vwch","NOCCO DY Migros DE","Products","100","Display","03"
"2026-01-12 09:12:46.0819470","B2223-USvwll","Barebells Advent Calendar 2023","Products","100","Products",
"2026-01-12 09:12:46.0819470","B1104-4-USAvwll","Barebells Bars Wild Cherry 55g 4-pack","Products","100","Products",
"2026-01-12 09:12:46.0819470","B2143tyab","Tyngre Kasein Caramel Cashew 750g 6-pack","Products","100","Products",
"2026-01-12 09:12:46.0819470","6505-UKvwuk","NOCCO Focus Grand Sour 180mg 330ml 4-pack","Products","100","Products",
"2026-01-12 09:12:46.0819470","P1/13044-03-ATbbat","Topsign VW Floorstand Manuel Fettner","POS","104","Products",
"2026-01-12 09:12:46.0819470","6310-SGvwab","NOCCO Limón Del Sol 180mg 330ml 24-pack",,,"Products",
"2026-01-12 09:12:46.0819470","PVW04034ppdk","We Run Aalborg Topskilt",,,"Products",
"2026-03-13 10:13:29.2502790","P12636vwab","SHELF STOPPER",,,"Products",
"2026-01-28 13:54:57.3770640","6471-USvwab","NOCCO Juicy Razz 200mg 12oz 12-pack",,,"Products",
"2026-01-27 11:40:18.4296000","P12426vwab","NOCCO v15 Half Can Pop-Up SE",,,"Products",
"2026-01-12 09:12:46.0819470","P10997vwab","Vitamin Well v1 Sidoskylt Gavel Dejan",,,"Products",
"2026-04-08 06:39:39.7964140","1340vwab","Vitamin Well Zero Wild Berries 500ml 12-pack",,,"Products",
"2026-01-12 09:12:46.0819470","T1041tyab","Mössa Nordkap",,,"Products",
"2026-01-12 09:12:46.0819470","6460-SGvwab","NOCCO Juicy Melba 180mg 330ml 24-pack",,,"Products",
"2026-03-17 10:54:13.4262300","6000-Styab","NOCCO Pear 180mg 330ml 1 st",,,"Products",
"2026-03-13 10:13:29.2502790","P12703vwab","VW Vinterkampanj 2025 toppskylt",,,"Products",
"2026-01-12 09:12:46.0819470","B2147tyab","Tyngre Kasein Mintchoklad 750g 6-pack","Products","100","Products",
"2026-03-13 10:13:29.2502790","P12637vwab","SHELF STOPPER",,,"Products",
"2026-01-28 13:54:57.3770640","B1067vwab","Barebells Bars Minty Chocolate 55g 12-pack",,,"Products",
"2026-01-27 11:40:18.4296000","P12427vwab","NOCCO v15 Half Can Pop-Up IS",,,"Products",
"2026-01-12 09:12:46.0819470","PVW04035ppdk","We Run Aarhus",,,"Products",
"2026-05-19 08:54:59.5365250","1350vwab","Vitamin Well Summer Röda Vinbär 500ml 12-pack",,,"Products",
"2026-01-27 09:41:36.9378830","6471-USvwus","NOCCO Juicy Razz 200mg 12oz 12-pack",,,"Products",
"2026-01-12 09:12:46.0819470","6320-SGvwab","NOCCO Blood Orange Del Sol 180mg 24-pack",,,"Products",
"2026-01-12 09:12:46.0819470","P10989vwab","Vitamin Well v1 Toppskylt 1/2 & 1/3 pall Dejan",,,"Products",
"2026-03-13 10:13:29.2502790","P12704vwab","VW Vinterkampanj 2025 wobbler (liten)",,,"Products",
"2026-01-12 09:12:46.0819470","T1042tyab","Old School T-shirt Dam",,,"Products",
"2026-03-13 10:13:29.2502790","P12638vwab","SHELF TOP SIGN",,,"Products",
"2026-03-23 08:56:59.7582060","B1061-DEFRNLbbat","Barebells Bars Peanut Caramel 55g 12-pack",,,"Products",
"2026-01-27 11:40:18.4296000","P12428vwab","NOCCO v15 Pop-Up SE",,,"Products",
"2026-03-16 11:28:14.3700860","6070-Styab","NOCCO Focus Cola 180mg 330ml 1 st",,,"Products",
"2026-01-12 09:12:46.0819470","9841vwab","Blackcurrant flavouring 160425",,,"Products",
"2026-01-12 09:12:46.0819470","B2152tyab","Tyngre Kasein Gräddkola 750g 6-pack","Products","100","Products",
"2026-01-12 09:12:46.0819470","6020-SGvwab","NOCCO Citrus/Fläder BCAA+ 330ml 24-pack",,,"Products",
"2026-01-12 09:12:46.0819470","P1/B2223-DEFRbbde","Pappe Barebells Advent Calendar 2023",,,"Products",
"2026-01-12 09:12:46.0819470","301042ppdk","Vitamin Well 1/4",,,"Display","03"
"2026-01-12 09:12:46.0819470","P10990vwab","Vitamin Well v1 Toppskylt End Cap Dejan",,,"Products",
"2026-03-13 10:13:29.2502790","P12705vwab","VW Vinterkampanj 2025 wobbler (stor)",,,"Products",
"2026-01-12 09:12:46.0819470","T1043tyab","Old School T-shirt Herr",,,"Products",
"2026-06-18 07:40:28.4270130","P12639vwab","NOCCO SHELF TOP SIGN",,,"Products",
"2026-01-12 09:12:46.0819470","753vwfi","Management Fee VWFI","Services","101","Products",
"2026-01-27 11:40:18.4296000","P12429vwab","NOCCO v15 Pop-Up IS",,,"Products",
